dimension,segment,transactions,fraud_cases,recall,false_positives,fraud_value
type,CASH_IN,186,5,0.2,16,2051.48
type,CASH_OUT,414,29,0.7241379310344828,255,15869.330000000002
type,DEBIT,135,1,0.0,4,1198.31
type,PAYMENT,742,7,0.14285714285714285,101,400.48
type,TRANSFER,272,19,0.9473684210526315,214,19386.68
amount_bucket,"(1.0190000000000001, 46.03]",438,11,0.2727272727272727,37,288.7
amount_bucket,"(113.37, 275.26]",437,12,0.75,157,2225.91
amount_bucket,"(275.26, 6700.6]",437,27,0.8148148148148148,280,35560.24
amount_bucket,"(46.03, 113.37]",437,11,0.6363636363636364,116,831.43
